Timestamp,miners-revenue
2019-11-13 23:00:00,18779474.737608
2019-11-14 23:00:00,17351278.970832
2019-11-15 23:00:00,15864379.2041146
2019-11-16 23:00:00,16582477.2990228
2019-11-17 23:00:00,14963381.5186087
2019-11-18 23:00:00,15599060.2593914
2019-11-19 23:00:00,14807093.0673851
2019-11-20 23:00:00,13715760.945241
2019-11-21 23:00:00,12538677.9776505
2019-11-22 23:00:00,16178363.034655
2019-11-23 23:00:00,11832812.5764915
2019-11-24 23:00:00,11205569.8205629
2019-11-25 23:00:00,11167150.5679495
2019-11-26 23:00:00,12848987.4919461
2019-11-27 23:00:00,15917751.9149121
2019-11-28 23:00:00,14142605.488628
2019-11-29 23:00:00,12281980.5701858
2019-11-30 23:00:00,12925726.3722973
2019-12-01 23:00:00,13446041.6564058
2019-12-02 23:00:00,14637722.1146156
2019-12-03 23:00:00,15591131.4044838
2019-12-04 23:00:00,13451289.4192284
2019-12-05 23:00:00,13603961.7470767
2019-12-06 23:00:00,15286888.4929326
2019-12-07 23:00:00,13969510.4009207
2019-12-08 23:00:00,13970881.9664841
2019-12-09 23:00:00,13646564.1053916
2019-12-10 23:00:00,12062018.8328855
2019-12-11 23:00:00,12076200.2025003
2019-12-12 23:00:00,14060284.4659923
2019-12-13 23:00:00,13824044.9576452
2019-12-14 23:00:00,11126047.8730105
2019-12-15 23:00:00,14132643.7105247
2019-12-16 23:00:00,12121833.9540971
2019-12-17 23:00:00,11695182.7772287
2019-12-18 23:00:00,14591652.0228841
2019-12-19 23:00:00,14124384.4575268
2019-12-20 23:00:00,15844785.3183124
2019-12-21 23:00:00,15337832.9734668
2019-12-22 23:00:00,13758030.7646397
2019-12-23 23:00:00,11525831.9084891
2019-12-24 23:00:00,11634910.2863679
2019-12-25 23:00:00,15752637.611085
2019-12-26 23:00:00,13514433.1871364
2019-12-27 23:00:00,13698700.7384132
2019-12-28 23:00:00,14317659.0176258
2019-12-29 23:00:00,15446347.0361434
2019-12-30 23:00:00,13152944.2201164
2019-12-31 23:00:00,15907075.7858818
2020-01-01 23:00:00,12576131.2232563
2020-01-02 23:00:00,15705586.471209
2020-01-03 23:00:00,15650931.3942571
2020-01-04 23:00:00,15404396.6232259
2020-01-05 23:00:00,13051403.0811154
2020-01-06 23:00:00,17646229.3032322
2020-01-07 23:00:00,14890476.7245234
2020-01-08 23:00:00,15730239.7133437
