Timestamp,transactions-per-second
2019-09-27 14:45:00,4.05
2019-09-28 08:15:00,3.7
2019-09-29 01:45:00,3.3
2019-09-29 19:15:00,4.51666666666667
2019-09-30 12:45:00,4.8
2019-10-01 06:15:00,2.81666666666667
2019-10-01 23:45:00,3.3
2019-10-02 17:15:00,3.66666666666667
2019-10-03 10:45:00,2.81666666666667
2019-10-04 04:15:00,2.78333333333333
2019-10-04 21:45:00,4.53333333333333
2019-10-05 15:15:00,4.71666666666667
2019-10-06 08:45:00,2.23333333333333
2019-10-07 02:15:00,3.91666666666667
2019-10-07 19:45:00,3.28333333333333
2019-10-08 13:15:00,3.36666666666667
2019-10-09 06:45:00,3.78333333333333
2019-10-10 00:15:00,3.93333333333333
2019-10-10 17:45:00,4.88333333333333
2019-10-11 11:15:00,3.18333333333333
2019-10-12 04:45:00,2.11666666666667
2019-10-12 22:15:00,3.01666666666667
2019-10-13 15:45:00,3.91666666666667
2019-10-14 09:15:00,3.08333333333333
2019-10-15 02:45:00,2.86666666666667
2019-10-15 20:15:00,3.38333333333333
2019-10-16 13:45:00,4
2019-10-17 07:15:00,4.8
2019-10-18 00:45:00,4.06666666666667
2019-10-18 18:15:00,3.43333333333333
2019-10-19 11:45:00,3.75
2019-10-20 05:15:00,2.41666666666667
2019-10-20 22:45:00,3.01666666666667
2019-10-21 16:15:00,4.38333333333333
2019-10-22 09:45:00,3.66666666666667
2019-10-23 03:15:00,3.06666666666667
2019-10-23 20:45:00,2.41666666666667
2019-10-24 14:15:00,3.1
2019-10-25 07:45:00,3.91666666666667
2019-10-26 01:15:00,2.85
2019-10-26 18:45:00,2.7
2019-10-27 12:15:00,2.1
2019-10-28 05:45:00,3.56666666666667
2019-10-28 23:15:00,2.73333333333333
2019-10-29 16:45:00,3.85
2019-10-30 10:15:00,3.23333333333333
2019-10-31 03:45:00,3.16666666666667
2019-10-31 21:15:00,2.61666666666667
2019-11-01 14:45:00,3.3
2019-11-02 08:15:00,2.6
2019-11-03 01:45:00,3.45
2019-11-03 18:15:00,3.03333333333333
2019-11-04 11:45:00,4.56666666666667
2019-11-05 05:15:00,2.53333333333333
2019-11-05 22:45:00,4.06666666666667
2019-11-06 16:15:00,3.65
2019-11-07 09:45:00,4.96666666666667
2019-11-08 03:15:00,3.38333333333333
2019-11-08 20:45:00,2.73333333333333
2019-11-09 14:15:00,4
2019-11-10 07:45:00,2.83333333333333
2019-11-11 01:15:00,2.5
2019-11-11 18:45:00,4.65
2019-11-12 12:15:00,3.15
2019-11-13 05:45:00,2.46666666666667
2019-11-13 23:15:00,3.88333333333333
2019-11-14 16:45:00,3.43333333333333
2019-11-15 10:15:00,3.45
2019-11-16 03:45:00,2.28333333333333
2019-11-16 21:15:00,2.05
2019-11-17 14:45:00,3.85
2019-11-18 08:15:00,3.1
2019-11-19 01:45:00,3.56666666666667
2019-11-19 19:15:00,3
2019-11-20 12:45:00,3.9
2019-11-21 06:15:00,2.51666666666667
2019-11-21 23:45:00,3
2019-11-22 17:15:00,3.4
2019-11-23 10:45:00,2.91666666666667
2019-11-24 04:15:00,2.36666666666667
2019-11-24 21:45:00,3.13333333333333
2019-11-25 15:15:00,3.23333333333333
2019-11-26 08:45:00,3.11666666666667
2019-11-27 02:15:00,2.25
2019-11-27 19:45:00,4.31666666666667
2019-11-28 13:15:00,3.88333333333333
2019-11-29 06:45:00,3.3
2019-11-30 00:15:00,3.13333333333333
2019-11-30 17:45:00,2.76666666666667
2019-12-01 11:15:00,2.76666666666667
2019-12-02 04:45:00,3.26666666666667
2019-12-02 22:15:00,2.88333333333333
2019-12-03 15:45:00,5.08333333333333
2019-12-04 09:15:00,3.41666666666667
2019-12-05 02:45:00,2.46666666666667
2019-12-05 20:15:00,4.15
2019-12-06 13:45:00,4.28333333333333
2019-12-07 07:15:00,3.28333333333333
2019-12-08 00:45:00,2.75
2019-12-08 18:15:00,2.55
2019-12-09 11:45:00,4.01666666666667
2019-12-10 05:15:00,3.38333333333333
2019-12-10 22:45:00,2.96666666666667
2019-12-11 16:15:00,4.38333333333333
2019-12-12 09:45:00,3.98333333333333
