Timestamp,n-transactions-excluding-popular
2020-05-26 00:00:00,291137
2020-05-27 00:00:00,287455
2020-05-28 00:00:00,294489
2020-05-29 00:00:00,276012
2020-05-30 00:00:00,281145
2020-05-31 00:00:00,253287
2020-06-01 00:00:00,302609
2020-06-02 00:00:00,298157
2020-06-03 00:00:00,308625
2020-06-04 00:00:00,313108
2020-06-05 00:00:00,321671
2020-06-06 00:00:00,280649
2020-06-07 00:00:00,248115
2020-06-08 00:00:00,310460
2020-06-09 00:00:00,320953
2020-06-10 00:00:00,319466
2020-06-11 00:00:00,326872
2020-06-12 00:00:00,313063
2020-06-13 00:00:00,275627
2020-06-14 00:00:00,271315
2020-06-15 00:00:00,289685
2020-06-16 00:00:00,335243
2020-06-17 00:00:00,328530
2020-06-18 00:00:00,278622
2020-06-19 00:00:00,339012
2020-06-20 00:00:00,279280
2020-06-21 00:00:00,254911
2020-06-22 00:00:00,295556
2020-06-23 00:00:00,350108
2020-06-24 00:00:00,307684
2020-06-25 00:00:00,308245
2020-06-26 00:00:00,326538
2020-06-27 00:00:00,271853
2020-06-28 00:00:00,260783
2020-06-29 00:00:00,311301
2020-06-30 00:00:00,295873
2020-07-01 00:00:00,377632
2020-07-02 00:00:00,334764
2020-07-03 00:00:00,326595
2020-07-04 00:00:00,284844
2020-07-05 00:00:00,270576
2020-07-06 00:00:00,334463
2020-07-07 00:00:00,341699
2020-07-08 00:00:00,342898
2020-07-09 00:00:00,358255
2020-07-10 00:00:00,341593
2020-07-11 00:00:00,303255
2020-07-12 00:00:00,279186
2020-07-13 00:00:00,306196
2020-07-14 00:00:00,355550
2020-07-15 00:00:00,311979
2020-07-16 00:00:00,341615
2020-07-17 00:00:00,290436
2020-07-18 00:00:00,307556
2020-07-19 00:00:00,273618
2020-07-20 00:00:00,305730
2020-07-21 00:00:00,308464
2020-07-22 00:00:00,360358
2020-07-23 00:00:00,332067
2020-07-24 00:00:00,365161
2020-07-25 00:00:00,289949
2020-07-26 00:00:00,294488
2020-07-27 00:00:00,321871
2020-07-28 00:00:00,350124
2020-07-29 00:00:00,342341
2020-07-30 00:00:00,323225
2020-07-31 00:00:00,353027
2020-08-01 00:00:00,292926
2020-08-02 00:00:00,283820
2020-08-03 00:00:00,329505
2020-08-04 00:00:00,325055
2020-08-05 00:00:00,287684
2020-08-06 00:00:00,352118
2020-08-07 00:00:00,322363
2020-08-08 00:00:00,279702
2020-08-09 00:00:00,264386
2020-08-10 00:00:00,303783
2020-08-11 00:00:00,345467
2020-08-12 00:00:00,341750
2020-08-13 00:00:00,320583
2020-08-14 00:00:00,360801
2020-08-15 00:00:00,309822
2020-08-16 00:00:00,281605
2020-08-17 00:00:00,289154
2020-08-18 00:00:00,341325
2020-08-19 00:00:00,330014
2020-08-20 00:00:00,329738
2020-08-21 00:00:00,310171
2020-08-22 00:00:00,308132
2020-08-23 00:00:00,285434
2020-08-24 00:00:00,325028
2020-08-25 00:00:00,300429
2020-08-26 00:00:00,320047
2020-08-27 00:00:00,324513
2020-08-28 00:00:00,349009
2020-08-29 00:00:00,289608
2020-08-30 00:00:00,265680
2020-08-31 00:00:00,298800
2020-09-01 00:00:00,371691
2020-09-02 00:00:00,312045
2020-09-03 00:00:00,305389
2020-09-04 00:00:00,292923
2020-09-05 00:00:00,321132
2020-09-06 00:00:00,258797
2020-09-07 00:00:00,323182
2020-09-08 00:00:00,328306
2020-09-09 00:00:00,310690
