Timestamp,estimated-transaction-volume
2020-06-04 00:00:00,180171.68476832
2020-06-05 00:00:00,184254.95729065
2020-06-06 00:00:00,60040.87647443
2020-06-07 00:00:00,52177.20570141
2020-06-08 00:00:00,151974.17289403
2020-06-09 00:00:00,122474.14099779
2020-06-10 00:00:00,121166.76327399
2020-06-11 00:00:00,238689.10282836
2020-06-12 00:00:00,126474.97348093
2020-06-13 00:00:00,61174.68635016
2020-06-14 00:00:00,48809.12416476
2020-06-15 00:00:00,184093.56978128
2020-06-16 00:00:00,174623.15810895
2020-06-17 00:00:00,180462.30516009
2020-06-18 00:00:00,126594.8076192
2020-06-19 00:00:00,250423.06322562
2020-06-20 00:00:00,62454.26432165
2020-06-21 00:00:00,57418.26893659
2020-06-22 00:00:00,144350.81956594
2020-06-23 00:00:00,223797.324362
2020-06-24 00:00:00,177466.23306765
2020-06-25 00:00:00,195917.99431231
2020-06-26 00:00:00,216139.18236848
2020-06-27 00:00:00,65743.23207016
2020-06-28 00:00:00,66482.75948601
2020-06-29 00:00:00,120204.06542879
2020-06-30 00:00:00,105381.41040472
2020-07-01 00:00:00,159811.64022379
2020-07-02 00:00:00,145280.40392493
2020-07-03 00:00:00,127873.11886927
2020-07-04 00:00:00,65853.25112188
2020-07-05 00:00:00,56485.87730006
2020-07-06 00:00:00,153047.68296299
2020-07-07 00:00:00,136498.13518475
2020-07-08 00:00:00,168963.39771102
2020-07-09 00:00:00,148305.10213171
2020-07-10 00:00:00,134832.56779962
2020-07-11 00:00:00,62439.45483231
2020-07-12 00:00:00,52038.28606021
2020-07-13 00:00:00,145833.85066208
2020-07-14 00:00:00,135077.87873092
2020-07-15 00:00:00,134399.36045799
2020-07-16 00:00:00,138881.66240032
2020-07-17 00:00:00,120592.3334977
2020-07-18 00:00:00,76360.18484154
2020-07-19 00:00:00,69405.55348604
2020-07-20 00:00:00,115174.80670189
2020-07-21 00:00:00,142457.17097893
2020-07-22 00:00:00,171740.04536776
2020-07-23 00:00:00,181464.97046959
2020-07-24 00:00:00,165485.21008473
2020-07-25 00:00:00,93120.88008072
2020-07-26 00:00:00,102256.38673427
2020-07-27 00:00:00,241064.03097767
2020-07-28 00:00:00,247901.53996404
2020-07-29 00:00:00,186376.24203951
2020-07-30 00:00:00,171555.36850361
2020-07-31 00:00:00,190126.70314336
2020-08-01 00:00:00,110125.76372457
2020-08-02 00:00:00,102452.37259534
2020-08-03 00:00:00,233677.32376718
2020-08-04 00:00:00,134798.1200302
2020-08-05 00:00:00,120526.43279489
2020-08-06 00:00:00,180464.5498093
2020-08-07 00:00:00,162147.28054885
2020-08-08 00:00:00,81890.38277316
2020-08-09 00:00:00,70244.03826157
2020-08-10 00:00:00,171350.552971
2020-08-11 00:00:00,157580.08954622
2020-08-12 00:00:00,141475.93979464
2020-08-13 00:00:00,147604.36547487
2020-08-14 00:00:00,194831.86014598
2020-08-15 00:00:00,91847.94287955
2020-08-16 00:00:00,77886.22661437
2020-08-17 00:00:00,168397.06450122
2020-08-18 00:00:00,194088.92428771
2020-08-19 00:00:00,165408.41867124994
2020-08-20 00:00:00,135544.17042732993
2020-08-21 00:00:00,129046.70785575006
2020-08-22 00:00:00,81975.71478551996
2020-08-23 00:00:00,59773.08127484999
2020-08-24 00:00:00,114941.93451913002
2020-08-25 00:00:00,136983.09553248997
2020-08-26 00:00:00,141116.28273540997
2020-08-27 00:00:00,139498.85341366997
2020-08-28 00:00:00,175750.82905829992
2020-08-29 00:00:00,81346.11833217996
2020-08-30 00:00:00,94059.00261656001
2020-08-31 00:00:00,201119.7191597001
2020-09-01 00:00:00,197979.43152455002
2020-09-02 00:00:00,182860.61712774006
2020-09-03 00:00:00,199753.31196598004
2020-09-04 00:00:00,242003.28333189996
2020-09-05 00:00:00,122922.04357359996
2020-09-06 00:00:00,92445.78406697
2020-09-07 00:00:00,172730.1363213799
2020-09-08 00:00:00,168463.89601938007
2020-09-09 00:00:00,145217.14817268006
2020-09-10 00:00:00,146146.67801436002
2020-09-11 00:00:00,156938.70920046995
2020-09-12 00:00:00,82608.73707797992
2020-09-13 00:00:00,75670.98122475
2020-09-14 00:00:00,156009.63340145
2020-09-15 00:00:00,155491.34199574
2020-09-16 00:00:00,172048.70141792996
2020-09-17 00:00:00,158931.5173593
2020-09-18 00:00:00,177236.43349251992
2020-09-19 00:00:00,92668.96837166004
2020-09-20 00:00:00,77545.23233521999
2020-09-21 00:00:00,152786.40710971996
2020-09-22 00:00:00,154965.64202564996
2020-09-23 00:00:00,184851.04294776995
2020-09-24 00:00:00,195896.2267462901
2020-09-25 00:00:00,178614.73269464995
2020-09-26 00:00:00,74160.39488330999
2020-09-27 00:00:00,73759.51965533
2020-09-28 00:00:00,151223.61450625997
2020-09-29 00:00:00,163844.81304375996
2020-09-30 00:00:00,145528.2810982
2020-10-01 00:00:00,156037.05200603
2020-10-02 00:00:00,217076.73619106994
2020-10-03 00:00:00,80285.35246207999
2020-10-04 00:00:00,59889.36436076999
2020-10-05 00:00:00,125552.04600594002
2020-10-06 00:00:00,129486.63340467997
2020-10-07 00:00:00,174094.30786101
2020-10-08 00:00:00,145781.9892372799
2020-10-09 00:00:00,186619.71727888004
2020-10-10 00:00:00,101443.97258364002
2020-10-11 00:00:00,57355.843687999986
2020-10-12 00:00:00,132805.27278606
2020-10-13 00:00:00,149869.35707315995
2020-10-14 00:00:00,144103.09234183
2020-10-15 00:00:00,145192.82140973
2020-10-16 00:00:00,152867.05156987003
2020-10-17 00:00:00,61240.065119880004
2020-10-18 00:00:00,49419.09261597001
2020-10-19 00:00:00,139860.20001045
2020-10-20 00:00:00,139952.75314706005
2020-10-21 00:00:00,190561.11493135992
2020-10-22 00:00:00,255685.31198723993
2020-10-23 00:00:00,214302.02330150997
2020-10-24 00:00:00,78368.12347480995
2020-10-25 00:00:00,58962.23316382002
2020-10-26 00:00:00,163659.57108549005
2020-10-27 00:00:00,142312.25893298996
2020-10-28 00:00:00,187898.01163798006
2020-10-29 00:00:00,160004.86911104003
2020-10-30 00:00:00,141057.58993046999
2020-10-31 00:00:00,95944.03520103
2020-11-01 00:00:00,86295.05041193997
2020-11-01 23:00:00,126516.49777352999
2020-11-02 23:00:00,279667.716385
2020-11-03 23:00:00,143257.94298741993
2020-11-04 23:00:00,348418.6143041401
2020-11-05 23:00:00,226071.88272974023
2020-11-06 23:00:00,97493.11126577
2020-11-07 23:00:00,73988.18895611
2020-11-08 23:00:00,177538.4853910999
2020-11-09 23:00:00,171897.33229668
2020-11-10 23:00:00,174110.37201595
2020-11-11 23:00:00,204679.98235913995
2020-11-12 23:00:00,163123.30853356994
2020-11-13 23:00:00,84583.84085695003
2020-11-14 23:00:00,49737.54381367
