,date,utxo-count,cost-per-transaction-percent,hash-rate,n-transactions-excluding-popular,difficulty,mempool-size,output-volume,fees-usd-per-transaction,transaction-fees-usd,n-unique-addresses,mempool-count,transactions-per-second,mempool-growth,my-wallet-n-users,miners-revenue,n-payments,estimated-transaction-volume,n-transactions,transaction-fees,estimated-transaction-volume-usd,cost-per-transaction
252,2019-12-29,64509297.0,1.61531747403575,93057458.16043282,315215.0,12948593420946.0,272752.0,988699.407643123,0.355893089798905,116649.654471028,544505.0,939.0,2.616666666666665,,,15446347.0361434,515050.0,131283.54731356,324497.0,15.90283263,956242180.526399,47.1261419309612
253,2019-12-30,64553947.5,1.53939337421636,95172400.39135176,285595.0,12948593420946.0,3947701.5,724804.399888533,0.3642814071957,106897.286097356,489182.0,9003.5,4.06666666666667,,,13152944.2201164,471902.0,118692.27692215,293447.0,14.84211896,854423855.553621,44.8222139606688
254,2019-12-31,64574694.0,5.71904883739375,97011480.59215082,246464.0,13031658000898.2,220963.5,445595.375982222,0.28505811095915,71819.535881825,389706.0,638.0,3.85,,,15907075.7858818,396386.0,38648.24679086,251735.0,9.97099973,278141981.965149,63.1365953390269
255,2020-01-01,64628172.5,1.81719504863656,101344004.2402602,288545.0,13798783827516.0,319359.0,695423.336835158,0.330064666408395,97556.22325633,475461.0,966.25,2.916666666666665,,,12576131.2232563,483567.0,98003.465802,295567.0,13.78084459,692062815.85965,42.5491723475771
256,2020-01-02,64666074.0,0.912494010634009,99804501.4653562,308389.0,13798783827516.0,1698946.5,1018828.76058016,0.375000160373712,118804.925808477,523231.0,4028.5,3.31666666666667,,,15705586.471209,503607.0,236599.38690371,316517.0,16.38979535,1721171458.46213,49.5736805977311
257,2020-01-03,64700210.0,2.51197771592301,103031751.96983837,280850.0,13798783827516.0,463417.0,659620.034119296,0.31362859357195,91050.14425706,465366.0,1250.0,2.81666666666667,,,15650931.3942571,462587.0,85109.87776538,287215.0,12.31216518,623052159.06369,53.9107284378774
258,2020-01-04,64731107.5,4.33555541506082,105793194.8249283,281607.0,13798783827516.0,731807.5,565296.54187035,0.307037813617038,88532.5113295912,459065.0,2457.0,3.825,,,15404396.6232259,471825.0,47803.86397373,287779.0,11.88711242,355303880.322097,53.4236766613
259,2020-01-05,64839856.5,1.3566089985406,107512955.57361652,291456.0,13798783827516.0,1483513.5,1097641.31609541,0.511697139286414,156240.581115435,522665.0,3947.5,2.78333333333333,,44818309.0,13051403.0811154,502221.0,127638.22034273,299146.0,20.49312376,962060777.656326,42.7441166219581
260,2020-01-06,64879722.0,1.57183521615762,105477457.1533581,333056.0,13798783827516.0,912581.0,786850.605013729,0.587239085110897,202056.637165872,576831.0,2538.25,3.25,,,17646229.3032322,572124.0,141873.73420881,344079.0,25.56190656,1122651351.86172,51.2854004552215
261,2020-01-07,64930047.0,1.25574665750157,109390648.92246714,308641.0,13798783827516.0,3252271.5,901196.844609986,0.797559971333301,253639.224523445,558689.0,6570.5,4.73333333333333,,,14890476.7245234,496585.0,144356.99418374,318019.0,30.83081053,1185786689.98009,46.8226009280057
262,2020-01-08,64987517.0,1.01025677099729,107202820.50024436,314334.0,13798783827516.0,6422315.0,1209651.56106412,0.729342052319093,234889.71334373,553318.0,14167.0,3.03333333333333,,,15730239.7133437,499115.0,197513.24779745,322057.0,29.78119837,1557053628.83293,48.8430300019678
263,2020-01-09,64979990.0,1.2135893457625,108770686.24796282,322925.0,13798783827516.0,400016.0,906991.318369058,0.783040697464629,269893.769357924,590633.0,1080.5,3.575,,,15541380.5657432,542266.0,162847.24910828,330734.0,32.5651343,1280612805.31253,45.0900867653004
264,2020-01-10,64979278.0,3.29807487410331,106810854.0633148,302592.0,13798783827516.0,4501163.5,595929.426650587,0.483337445657257,149746.64073864,509544.0,8082.5,4.53333333333333,,,16893865.3907386,478621.0,63061.48057476,309070.0,18.38352814,512234137.659831,54.5283533905023
265,2020-01-11,65041944.0,3.4581367819517,106320896.0171528,276804.0,13798783827516.0,300120.5,501745.460117209,0.41553243857684,118506.942755045,450668.0,858.0,3.4,,,15625350.6674988,422635.0,55680.89579774,283136.0,14.53164303,451843048.807346,54.7886892998734
266,2020-01-12,65118246.5,1.65958575855012,105144996.70636408,283901.0,13798783827516.0,2163182.5,689551.99199671,0.489927301694839,142861.33139231,501600.0,6236.0,2.81666666666667,,,14633330.0813923,451839.0,108793.80403332,291597.0,17.63102526,881745942.082351,50.1834040864354
267,2020-01-13,65123157.0,0.542858293962469,105928929.58022328,337665.0,13819009697340.3,2320624.5,1249904.18551204,0.648377081121953,224956.373426505,616194.0,3534.5,4.58333333333333,,,15748081.3734265,535878.0,335665.94334151,346953.0,26.221577,2900956206.90936,45.3896676882071
268,2020-01-14,65127170.0,0.682998931334966,102912016.52961265,323387.0,14776367535689.0,1506203.0,1601482.10270927,0.826460884348415,274928.824865575,580574.0,2128.25,3.4749999999999996,,,16792710.0748656,524859.0,280822.13175005,332658.0,31.35812937,2458672964.83804,50.4804035221325
269,2020-01-15,65122281.0,1.31836205434412,104842225.0709244,318281.0,14776367535689.0,3276194.0,888152.900963791,0.635615160118378,207176.854595105,555072.0,8423.5,5.28333333333333,,,17478168.636505,507018.0,152626.97650804,325947.0,23.85247351,1325748763.69605,53.6227320285354
270,2020-01-16,65157079.0,1.1531847208411,106142030.57585926,316933.0,14776367535689.0,433225.5,1116671.92697818,0.663956825977776,215116.699962192,562153.0,1281.0,3.8,,,17783148.0200682,499952.0,173664.39846012,323992.0,24.29323765,1542090152.48638,54.8876145709407
271,2020-01-17,65212821.0,2.14384000995483,108225768.9546534,281541.0,14776367535689.0,330525.75,505653.627783496,0.550329783587247,158075.07604825,491063.0,1033.75,3.4,,,14834325.0760483,446582.0,77864.56200069,287237.0,17.76555017,691951125.418206,51.644896291384
272,2020-01-18,65262719.0,2.80773635246519,106104409.83457528,277684.0,14776367535689.0,311468.0,632112.687328294,0.514908781561009,148402.37484248,477110.0,1128.5,4.16666666666667,,,16961771.1248425,433197.0,68120.97656105,283960.0,16.5175935,604108398.922501,58.851921421606
273,2020-01-19,65330009.0,1.2668458236504,107047760.0050317,307269.0,14776367535689.0,1821140.0,979328.501556811,0.458515308810101,146878.042932375,532773.0,5769.0,3.33333333333333,,,16034934.2929324,479624.0,146372.36081798,313661.0,17.74334005,1265736839.76223,50.056922752291
274,2020-01-20,65353777.5,1.86263062672115,108984910.82487464,308741.0,14776367535689.0,2154267.5,668118.808808229,0.562424229577123,177281.741405005,544525.0,4480.75,3.4083333333333297,,,16708344.241405,482839.0,103774.67254467,315210.0,20.51905021,897029394.970128,53.0070246546905
275,2020-01-21,65390201.0,1.38152887675808,110810185.47842272,321769.0,14776367535689.0,1410283.0,897468.418794652,0.571580331365589,190275.091249285,544484.0,3800.5,3.63333333333333,,,17310387.5912493,498202.0,144608.58591928,328586.0,21.67952284,1252987750.19963,51.9998545816502
276,2020-01-22,65355773.5,1.22394811943949,111334854.917241,324086.0,14776367535689.0,671836.5,867468.190280036,0.534921239481578,178026.067869385,535923.0,1946.0,3.56666666666667,,45274690.0,17169132.3178694,496732.0,165824.99086889,329918.0,21.03754657,1402766346.47978,51.5887007459838
277,2020-01-23,65334947.0,1.67550308046612,111334854.917241,309921.0,14776367535689.0,1274928.25,692891.838389828,0.427680014249043,136250.29893946,534403.0,3277.75,4.8,,45286877.5,16478219.0489395,476750.0,116895.23020499,313887.0,16.10082373,983478887.090753,51.7239595986548
278,2020-01-24,65310696.0,4.60284464593957,110600317.70289542,283465.0,14776367535689.0,3652963.0,488493.748697748,0.331694932804184,94726.76568995,461312.0,7133.0,4.18333333333333,,45313590.0,17146239.26569,427879.0,44807.6710861,285584.0,11.39326294,372513968.74356,60.0392153120972
279,2020-01-25,65277282.0,4.09562813936442,113958202.11133242,259076.0,14776367535689.0,499668.0,577633.448201026,0.341523323735592,90371.85278697,429535.0,1206.75,3.25833333333333,,45333952.0,15373871.852787,390047.0,44461.50905508,261247.0,10.57299079,375372746.97924,58.0992383350351
280,2020-01-26,65282918.5,1.75621706370575,113223664.89698684,276009.0,14776367535689.0,2452227.0,1509052.89676099,0.620483693171555,173263.866481225,504693.0,5406.5,2.66666666666667,,45356618.0,14226813.8664812,435191.0,92546.4494980701,279240.0,19.78717492,810082885.566639,50.9483378687911
281,2020-01-27,65314685.0,1.54327586863365,110810185.47842272,336119.0,15203806713070.7,3399470.5,1050430.15512774,0.610528708582643,207611.508410945,589168.0,7536.5,3.95,,45382348.0,16242549.0084109,510767.0,116541.5660229,340052.0,22.98737848,1052472169.00964,47.7648977462592
282,2020-01-28,65290098.0,1.55722904837883,110086945.93868302,336452.0,15466098935555.0,5217830.0,893706.050621505,0.560195454366121,190781.284329835,573372.0,9961.25,3.2,,45411027.5,18887556.2843298,507958.0,129782.17136393,340562.0,20.42515898,1212895193.80549,55.4599640721215
283,2020-01-29,65310200.5,1.11069041521399,111290378.26366588,328495.0,15466098935555.0,5654148.0,1455372.46303862,0.553227880218493,187287.000429768,570253.0,12825.5,4.0,,45432499.0,18922276.3946485,508023.0,181443.87730608,332558.0,19.64580869,1703649922.19753,55.8945940438906
284,2020-01-30,65349346.0,0.769218160598372,111739680.95495504,330148.0,15466098935555.0,962411.0,1204276.68489226,0.628724543756242,210266.864066575,572887.0,2327.5,3.258333333333335,,45468596.0,17040641.8640666,514660.0,237347.73978322,334434.0,22.53135857,2215319754.1268,50.9536765522243
285,2020-01-31,65381138.0,1.79559032073247,111605536.9493812,300224.0,15466098935555.0,5674856.75,818309.332065908,0.539328694210698,163807.06832045,523782.0,10817.25,3.45,,45508555.0,17858163.3183205,465443.0,105828.35283966,303724.0,17.4815999,994556670.98025,58.7973400795474
286,2020-02-01,65411459.0,2.77767992269212,110981010.23884846,287517.0,15466098935555.0,1613882.0,691971.371596464,0.547479687110276,159250.34390695,501222.0,4099.0,3.16666666666667,,45529607.0,16944231.593907,441977.0,65038.56846687,290879.0,16.94878932,610013826.84455,58.2518215268443
287,2020-02-02,65374766.0,0.498064922176011,111681439.23054674,326015.0,15466098935555.0,611697.75,1599642.01407951,0.606657778695561,200811.004641575,573277.0,1975.5,3.24166666666667,,45567447.5,17467129.7546416,504552.0,376635.80029822,331012.0,21.53312454,3506998581.29517,52.7688716863485
288,2020-02-03,65364540.5,1.57210658535277,114400102.61393988,303439.0,15466098935555.0,5682507.5,897290.328187505,0.70585229933972,218242.472432848,555771.0,6314.0,4.75,,45615989.0,15415016.36326,480224.0,106601.43838245,309190.0,23.74587464,980532522.850602,49.8561284752417
289,2020-02-04,65305973.0,1.61760274914058,113566280.34913358,363772.0,15466098935555.0,2948454.0,848648.943636921,0.646349647840744,241354.06834986,618126.0,5535.5,3.21666666666667,,45644084.0,19130672.8183499,548347.0,125158.09557864,368604.0,25.44140813,1182655805.23487,51.2322154900361
290,2020-02-05,65338308.0,0.514657875918228,113456448.35653286,310467.0,15466098935555.0,1485808.75,1569522.48661781,0.832005714344611,271923.595613535,552411.0,3568.25,3.6,,45676936.0,17105098.5956135,491233.0,343051.53339826,315370.0,27.10635364,3323586288.2882,52.3365386658269
291,2020-02-06,65363567.0,0.958882729377539,111149976.511918,329622.0,15466098935555.0,10910457.5,1661226.21474543,0.91996836711054,308132.36494327,599280.0,11089.5,4.3,,45686808.0,17296713.6149433,520076.0,184460.94895744,334938.0,31.51759356,1803840353.46757,51.6415384785938
292,2020-02-07,65270000.0,1.21280570949981,110600816.54891445,313558.0,15466098935555.0,11348433.0,784928.205700718,0.656464204300022,213029.1989374,529398.0,6257.0,3.51666666666667,,45717316.5,17511947.9489374,489976.0,147390.86284239,318363.0,21.33690612,1443920309.06251,53.9642782932341
