Timestamp,estimated-transaction-volume-usd
2020-01-18 23:00:00,604108398.922501
2020-01-19 23:00:00,1265736839.76223
2020-01-20 23:00:00,897029394.970128
2020-01-21 23:00:00,1252987750.19963
2020-01-22 23:00:00,1402766346.47978
2020-01-23 23:00:00,983478887.090753
2020-01-24 23:00:00,372513968.74356
2020-01-25 23:00:00,375372746.97924
2020-01-26 23:00:00,810082885.566639
2020-01-27 23:00:00,1052472169.00964
2020-01-28 23:00:00,1212895193.80549
2020-01-29 23:00:00,1703649922.19753
2020-01-30 23:00:00,2215319754.1268
2020-01-31 23:00:00,994556670.98025
2020-02-01 23:00:00,610013826.84455
2020-02-02 23:00:00,3506998581.29517
2020-02-03 23:00:00,980532522.850602
2020-02-04 23:00:00,1182655805.23487
2020-02-05 23:00:00,3323586288.2882
2020-02-06 23:00:00,1803840353.46757
2020-02-07 23:00:00,1443920309.06251
2020-02-08 23:00:00,744577606.607648
2020-02-09 23:00:00,1655558310.37745
2020-02-10 23:00:00,2306736286.50665
2020-02-11 23:00:00,1870288291.39479
2020-02-12 23:00:00,1903943551.24095
2020-02-13 23:00:00,1546031520.68268
2020-02-14 23:00:00,1109593958.57004
2020-02-15 23:00:00,1638768688.21711
2020-02-16 23:00:00,2253057178.21877
2020-02-17 23:00:00,1513418378.62798
2020-02-18 23:00:00,1880304367.67908
2020-02-19 23:00:00,1635169613.46713
2020-02-20 23:00:00,1133722528.69818
2020-02-21 23:00:00,508369260.661711
2020-02-22 23:00:00,737289757.885203
2020-02-23 23:00:00,1060129347.02799
2020-02-24 23:00:00,1088999982.0479
2020-02-25 23:00:00,1306061365.11718
2020-02-26 23:00:00,2025910515.26091
2020-02-27 23:00:00,1789999976.54431
2020-02-28 23:00:00,614926644.926824
2020-02-29 23:00:00,549446378.675048
2020-03-01 23:00:00,1226689506.9734
2020-03-02 23:00:00,1346019714.60831
2020-03-03 23:00:00,1344613313.04405
2020-03-04 23:00:00,1347117308.56223
2020-03-05 23:00:00,1586746058.90616
2020-03-06 23:00:00,714006122.12699
2020-03-07 23:00:00,750461852.241262
2020-03-09 00:00:00,2012070398.88597
2020-03-10 00:00:00,1642231325.0775
2020-03-11 00:00:00,1574744357.10949
2020-03-12 00:00:00,3596290367.00052
2020-03-13 00:00:00,2755019578.84146
2020-03-14 00:00:00,1169201200.62799
2020-03-15 00:00:00,691118819.656607
2020-03-16 00:00:00,1829202302.65315
