Timestamp,n-transactions
2020-03-10 00:00:00,329698
2020-03-11 00:00:00,287492
2020-03-12 00:00:00,349978
2020-03-13 00:00:00,276798
2020-03-14 00:00:00,279828
2020-03-15 00:00:00,223230
2020-03-16 00:00:00,270399
2020-03-17 00:00:00,278326
2020-03-18 00:00:00,231254
2020-03-19 00:00:00,265689
2020-03-20 00:00:00,284594
2020-03-21 00:00:00,245896
2020-03-22 00:00:00,209154
2020-03-23 00:00:00,259816
2020-03-24 00:00:00,278131
2020-03-25 00:00:00,218176
2020-03-26 00:00:00,292828
2020-03-27 00:00:00,276546
2020-03-28 00:00:00,240627
2020-03-29 00:00:00,232820
2020-03-30 00:00:00,276828
2020-03-31 00:00:00,290227
2020-04-01 00:00:00,281855
2020-04-02 00:00:00,299176
2020-04-03 00:00:00,278763
2020-04-04 00:00:00,253274
2020-04-05 00:00:00,240259
2020-04-06 00:00:00,280470
2020-04-07 00:00:00,312770
2020-04-08 00:00:00,286563
2020-04-09 00:00:00,286706
2020-04-10 00:00:00,288585
2020-04-11 00:00:00,247852
2020-04-12 00:00:00,228529
2020-04-13 00:00:00,288113
2020-04-14 00:00:00,299391
2020-04-15 00:00:00,310253
2020-04-16 00:00:00,322903
2020-04-17 00:00:00,284222
2020-04-18 00:00:00,289134
2020-04-19 00:00:00,251984
2020-04-20 00:00:00,310810
2020-04-21 00:00:00,310851
2020-04-22 00:00:00,278755
2020-04-23 00:00:00,329045
2020-04-24 00:00:00,320055
2020-04-25 00:00:00,280805
2020-04-26 00:00:00,252833
2020-04-27 00:00:00,311217
2020-04-28 00:00:00,323475
2020-04-29 00:00:00,331401
2020-04-30 00:00:00,321972
2020-05-01 00:00:00,340574
2020-05-02 00:00:00,286773
2020-05-03 00:00:00,281752
2020-05-04 00:00:00,326098
2020-05-05 00:00:00,329075
2020-05-06 00:00:00,333395
2020-05-07 00:00:00,341986
2020-05-08 00:00:00,323625
2020-05-09 00:00:00,312399
2020-05-10 00:00:00,286789
2020-05-11 00:00:00,305839
2020-05-12 00:00:00,345215
2020-05-13 00:00:00,296796
2020-05-14 00:00:00,268750
2020-05-15 00:00:00,310642
2020-05-16 00:00:00,296555
2020-05-17 00:00:00,236808
2020-05-18 00:00:00,273723
2020-05-19 00:00:00,274897
2020-05-20 00:00:00,280037
2020-05-21 00:00:00,298483
2020-05-22 00:00:00,278784
2020-05-23 00:00:00,269230
2020-05-24 00:00:00,214530
2020-05-25 00:00:00,265875
2020-05-26 00:00:00,295782
2020-05-27 00:00:00,292927
2020-05-28 00:00:00,299910
2020-05-29 00:00:00,280960
2020-05-30 00:00:00,286046
2020-05-31 00:00:00,258427
2020-06-01 00:00:00,308312
2020-06-02 00:00:00,304114
2020-06-03 00:00:00,314000
2020-06-04 00:00:00,318285
2020-06-05 00:00:00,327082
2020-06-06 00:00:00,284873
2020-06-07 00:00:00,252368
2020-06-08 00:00:00,317275
2020-06-09 00:00:00,327074
2020-06-10 00:00:00,325163
2020-06-11 00:00:00,332490
2020-06-12 00:00:00,318274
2020-06-13 00:00:00,280181
2020-06-14 00:00:00,275723
2020-06-15 00:00:00,294468
2020-06-16 00:00:00,340517
2020-06-17 00:00:00,333547
2020-06-18 00:00:00,283897
2020-06-19 00:00:00,344142
2020-06-20 00:00:00,284123
2020-06-21 00:00:00,259440
2020-06-22 00:00:00,301396
2020-06-23 00:00:00,355256
2020-06-24 00:00:00,312321
2020-06-25 00:00:00,312183
2020-06-26 00:00:00,330381
2020-06-27 00:00:00,275489
2020-06-28 00:00:00,264909
2020-06-29 00:00:00,315424
2020-06-30 00:00:00,299733
2020-07-01 00:00:00,382570
2020-07-02 00:00:00,339469
2020-07-03 00:00:00,331009
2020-07-04 00:00:00,288647
2020-07-05 00:00:00,274104
2020-07-06 00:00:00,338767
2020-07-07 00:00:00,345975
2020-07-08 00:00:00,347455
2020-07-09 00:00:00,362718
2020-07-10 00:00:00,345996
2020-07-11 00:00:00,306771
2020-07-12 00:00:00,282364
2020-07-13 00:00:00,310227
2020-07-14 00:00:00,359847
2020-07-15 00:00:00,316064
2020-07-16 00:00:00,345849
2020-07-17 00:00:00,293907
2020-07-18 00:00:00,311022
2020-07-19 00:00:00,277093
2020-07-20 00:00:00,309747
2020-07-21 00:00:00,312871
2020-07-22 00:00:00,364792
2020-07-23 00:00:00,336245
2020-07-24 00:00:00,369432
2020-07-25 00:00:00,293883
2020-07-26 00:00:00,298580
2020-07-27 00:00:00,326769
2020-07-28 00:00:00,354742
2020-07-29 00:00:00,346521
2020-07-30 00:00:00,327789
2020-07-31 00:00:00,356906
2020-08-01 00:00:00,296705
2020-08-02 00:00:00,287869
2020-08-03 00:00:00,333753
2020-08-04 00:00:00,329032
2020-08-05 00:00:00,291814
2020-08-06 00:00:00,356612
2020-08-07 00:00:00,326499
2020-08-08 00:00:00,283631
2020-08-09 00:00:00,268402
2020-08-10 00:00:00,308367
2020-08-11 00:00:00,349952
2020-08-12 00:00:00,346405
2020-08-13 00:00:00,325346
2020-08-14 00:00:00,365679
2020-08-15 00:00:00,313760
2020-08-16 00:00:00,285069
2020-08-17 00:00:00,292944
2020-08-18 00:00:00,346036
2020-08-19 00:00:00,333879
2020-08-20 00:00:00,333683
2020-08-21 00:00:00,314297
2020-08-22 00:00:00,311699
2020-08-23 00:00:00,288728
2020-08-24 00:00:00,329133
2020-08-25 00:00:00,304409
2020-08-26 00:00:00,324184
2020-08-27 00:00:00,328157
2020-08-28 00:00:00,352722
2020-08-29 00:00:00,292783
2020-08-30 00:00:00,269114
2020-08-31 00:00:00,302920
2020-09-01 00:00:00,376508
