Timestamp,hash-rate
2019-09-01 00:00:00,77307629.81674992
2019-09-02 00:00:00,76949688.48478603
2019-09-03 00:00:00,78440212.48352493
2019-09-04 00:00:00,81222826.59520005
2019-09-05 00:00:00,80706441.94499874
2019-09-06 00:00:00,81396021.79746325
2019-09-07 00:00:00,81911711.33116187
2019-09-08 00:00:00,81381518.77865718
2019-09-09 00:00:00,84070180.8003575
2019-09-10 00:00:00,83840689.86095707
2019-09-11 00:00:00,85217635.49735965
2019-09-12 00:00:00,88889490.52776654
2019-09-13 00:00:00,88354011.66916552
2019-09-14 00:00:00,87940628.0552553
2019-09-15 00:00:00,89554384.74609978
2019-09-16 00:00:00,88427197.63210215
2019-09-17 00:00:00,91022467.59238544
2019-09-18 00:00:00,89597236.24816689
2019-09-19 00:00:00,90214468.33262236
