,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
455,2020-12-06 00:00:00+00:00,19147.63,19449.10,18855.35,19375.02,176004.606,2020-12-06 23:59:59.999000+00:00,3370639869.06208,943780,87915.750,1684224667.03399,0
456,2020-12-07 00:00:00+00:00,19375.00,19446.36,18908.66,19172.88,169401.531,2020-12-07 23:59:59.999000+00:00,1462031959.73185,926890,82062.768,708653435.44324,0
457,2020-12-08 00:00:00+00:00,19172.87,19319.38,18133.33,18319.32,280714.132,2020-12-08 23:59:59.999000+00:00,5279747287.14345,1351027,133427.044,2510341786.92502,0
458,2020-12-09 00:00:00+00:00,18319.33,18639.70,17650.00,18537.98,353123.689,2020-12-09 23:59:59.999000+00:00,6424799134.15169,1673883,178303.953,3245713536.80042,0
459,2020-12-10 00:00:00+00:00,18537.97,18550.00,17916.00,18253.51,233960.241,2020-12-10 23:59:59.999000+00:00,4271592591.33380,1241586,116243.722,2122841960.60726,0
460,2020-12-11 00:00:00+00:00,18254.00,18290.44,17555.00,18031.47,317866.070,2020-12-11 23:59:59.999000+00:00,5689740183.80654,1563578,160142.007,2867277619.46507,0
461,2020-12-12 00:00:00+00:00,18031.71,18950.00,18012.21,18800.00,196962.282,2020-12-12 23:59:59.999000+00:00,3641762062.74761,1080853,106123.938,1962692168.68930,0
462,2020-12-13 00:00:00+00:00,18800.00,19432.00,18705.46,19175.07,239760.089,2020-12-13 23:59:59.999000+00:00,4594353525.45600,1182585,121821.870,2334599624.83917,0
463,2020-12-14 00:00:00+00:00,19175.06,19355.35,19004.72,19270.70,181555.823,2020-12-14 23:59:59.999000+00:00,3480597165.14886,1063827,90220.454,1730017045.77100,0
464,2020-12-15 00:00:00+00:00,19270.71,19598.00,19039.64,19424.91,248744.054,2020-12-15 23:59:59.999000+00:00,4809598929.89016,1313847,122075.043,2361458658.55847,0
465,2020-12-16 00:00:00+00:00,19424.90,21600.00,19274.55,21346.80,459302.012,2020-12-16 23:59:59.999000+00:00,9357131523.97121,2298208,241794.889,4926403521.58637,0
466,2020-12-17 00:00:00+00:00,21346.81,23888.04,21231.50,22816.99,823435.821,2020-12-17 23:59:59.999000+00:00,18707295908.07286,4179029,410694.991,9329002947.94464,0
467,2020-12-18 00:00:00+00:00,22816.99,23330.00,22363.94,23124.35,305997.222,2020-12-18 23:59:59.999000+00:00,7000308998.92912,1812455,151397.139,3464553049.81717,0
468,2020-12-19 00:00:00+00:00,23124.35,24281.61,22735.81,23847.28,337535.438,2020-12-19 23:59:59.999000+00:00,7938307873.86828,1930474,167811.299,3947885496.87695,0
469,2020-12-20 00:00:00+00:00,23847.28,24376.00,23076.25,23472.96,322289.774,2020-12-20 23:59:59.999000+00:00,7612660738.46881,1951223,155605.498,3677419184.16979,0
470,2020-12-21 00:00:00+00:00,23472.96,24145.00,21920.00,22730.10,476456.589,2020-12-21 23:59:59.999000+00:00,11000495257.06996,2612726,231309.940,5342893422.09471,0
471,2020-12-22 00:00:00+00:00,22736.05,23850.00,22387.00,23826.99,326124.313,2020-12-22 23:59:59.999000+00:00,7526843284.05874,1923785,163772.657,3781514220.20078,0
472,2020-12-23 00:00:00+00:00,23826.74,24235.42,22572.52,23238.27,394754.939,2020-12-23 23:59:59.999000+00:00,9276578416.54451,2386530,192721.439,4531460324.37955,0
473,2020-12-24 00:00:00+00:00,23237.73,23819.81,22700.00,23737.44,237754.257,2020-12-24 23:59:59.999000+00:00,5517917922.31023,1532684,120539.758,2799029134.68061,0
474,2020-12-25 00:00:00+00:00,23738.75,24827.64,23450.00,24730.00,284523.431,2020-12-25 23:59:59.999000+00:00,6874550222.92909,1821407,144345.703,3489090196.96053,0
475,2020-12-26 00:00:00+00:00,24729.99,26926.00,24507.24,26508.83,367265.555,2020-12-26 23:59:59.999000+00:00,9382122680.48018,2300815,186138.692,4756955732.52784,0
476,2020-12-27 00:00:00+00:00,26508.84,28459.84,25850.00,26305.64,540264.148,2020-12-27 23:59:59.999000+00:00,14678578951.91622,3325654,263441.238,7160381538.94652,0
477,2020-12-28 00:00:00+00:00,26301.76,27538.82,26117.10,27102.66,267563.468,2020-12-28 23:59:59.999000+00:00,7224208281.73227,1946973,129242.798,3490324558.14382,0
