,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
509,2021-09-01 12:29:00+00:00,47790.43000000,47799.68000000,47771.00000000,47783.00000000,16.07503000,2021-09-01 12:29:59.999000+00:00,768116.14690340,601,8.67978000,414754.49437750,0
510,2021-09-01 12:30:00+00:00,47783.00000000,47800.00000000,47780.19000000,47785.77000000,28.65865000,2021-09-01 12:30:59.999000+00:00,1369611.63952800,805,13.49164000,644779.20551430,0
511,2021-09-01 12:31:00+00:00,47785.77000000,47794.15000000,47750.15000000,47794.15000000,19.69526000,2021-09-01 12:31:59.999000+00:00,940870.60887990,727,7.89331000,377069.10105310,0
512,2021-09-01 12:32:00+00:00,47794.14000000,47820.00000000,47764.90000000,47810.00000000,81.28209000,2021-09-01 12:32:59.999000+00:00,3884921.75755230,998,46.69928000,2232069.89319290,0
513,2021-09-01 12:33:00+00:00,47809.99000000,47810.00000000,47756.10000000,47764.89000000,19.76405000,2021-09-01 12:33:59.999000+00:00,944443.15212030,722,10.97413000,524415.13852640,0
514,2021-09-01 12:34:00+00:00,47764.89000000,47764.92000000,47741.41000000,47746.99000000,16.48350000,2021-09-01 12:34:59.999000+00:00,787174.61302410,604,5.63435000,269070.94400290,0
515,2021-09-01 12:35:00+00:00,47746.99000000,47764.92000000,47725.20000000,47759.71000000,17.38958000,2021-09-01 12:35:59.999000+00:00,830302.21074590,694,7.19867000,343732.39060960,0
516,2021-09-01 12:36:00+00:00,47759.06000000,47763.92000000,47735.05000000,47736.19000000,10.52593000,2021-09-01 12:36:59.999000+00:00,502661.54742060,424,6.76888000,323251.54327250,0
517,2021-09-01 12:37:00+00:00,47740.63000000,47794.82000000,47740.62000000,47785.03000000,14.94856000,2021-09-01 12:37:59.999000+00:00,714093.64583190,762,8.17961000,390714.42473060,0
518,2021-09-01 12:38:00+00:00,47785.03000000,47790.75000000,47773.66000000,47779.58000000,17.48151000,2021-09-01 12:38:59.999000+00:00,835292.79741070,547,11.09306000,530041.87949240,0
